,artist_uid,event_list,num_event,fav_venue,num_event_fav_venue,start_active_year,end_active_year,event_per_year,num_year_active
4518,3660656,"[6533558, 7371748, 8564270, 10840768]",4,"Museum of Fine Arts, Houston (MFAH)",2,2011,2015,0.8,5
1940,8277234,"[2290217, 3329550, 11110262, 11938597]",4,Foltz Fine Art,4,2009,2015,0.57,7
1943,10749477,"[2290217, 11938597, 13460299, 14875768]",4,Foltz Fine Art,4,2014,2015,2.0,2
1946,14222111,"[2290217, 11110262, 11938597, 14875768]",4,Foltz Fine Art,4,2010,2015,0.67,6
1947,14391230,"[2290217, 11938597, 14573675, 14875768]",4,Foltz Fine Art,4,2014,2017,1.0,4
74,1932094,"[100974, 369599, 4716636, 8006888]",4,Glassell School of Art,1,2009,2015,0.57,7
3634,9332883,"[4985878, 11065714, 14806951, 14988920]",4,Hunter Gather,2,2009,2015,0.57,7
5052,10367475,"[7625015, 7794426, 7921713, 16693246]",4,Russian Cultural Center - Our Texas,4,2013,2018,0.67,6
1146,16059510,"[1258665, 3342691, 3691086, 12881625]",4,DiverseWorks,3,2014,2014,4.0,1
1955,2138139,"[2291469, 4025647, 11368227, 16199404]",4,Space HL,1,2012,2016,0.8,5
48,12802503,"[80166, 997065, 13712738, 15872959]",4,David Shelton Gallery,2,2010,2015,0.67,6
46,6938651,"[80166, 4651492, 5445137, 5593317]",4,David Shelton Gallery,2,2010,2012,1.33,3
41,12786729,"[73041, 3100861, 4314472, 10381796]",4,Inman Gallery,4,2007,2019,0.31,13
1958,5302932,"[2291469, 4025647, 6843885, 11368227]",4,Space HL,1,2016,2018,1.33,3
3708,4743487,"[5060921, 8050694, 9840387, 13276688]",4,East End Studio Gallery,1,2014,2019,0.67,6
3656,713419,"[5000181, 7727724, 10136333, 15446319]",4,DiverseWorks,3,2011,2013,1.33,3
22,9044029,"[43140, 1871198, 2705596, 11877180]",4,Nau-haus,2,2010,2012,1.33,3
21,4250195,"[43140, 4183131, 5365082, 13207185]",4,Nau-haus,1,2008,2018,0.36,11
19,5746522,"[31445, 5634429, 11153817, 12818194]",4,Deborah Colton Gallery,4,2008,2016,0.44,9
1970,12693445,"[2301089, 6341661, 6928426, 9113495]",4,Art Car Museum,1,2014,2017,1.0,4
3663,4250252,"[5013526, 10434138, 13193374, 16442936]",4,Bryan Miller Gallery,4,2007,2011,0.8,5
2013,6547894,"[2320290, 4335135, 6631448, 6721111]",4,Inman Gallery,2,2009,2014,0.67,6
2012,15500911,"[2319389, 5930889, 12055335, 15579329]",4,Devin Borden Gallery,2,2016,2018,1.33,3
1979,8085571,"[2313338, 4868586, 11605284, 12224393]",4,McMurtrey Gallery,3,2007,2018,0.33,12
3694,14211667,"[5045143, 5272991, 10808414, 16554399]",4,McClain Gallery,1,2008,2015,0.5,8
4647,14995170,"[6848013, 9664898, 12753295, 13425101]",4,Goldesberry Gallery,3,2007,2011,0.8,5
4211,4492351,"[6001803, 10052682, 13255689, 15053371]",4,Arlington Street Studios,1,2010,2014,0.8,5
3620,6873985,"[4950064, 7140875, 8344458, 16435261]",4,Rice University Art Gallery (Rice University),4,2013,2013,4.0,1
3733,7892493,"[5103212, 8801785, 14492801, 16428953]",4,Aker Imaging Gallery,1,2011,2018,0.5,8
1857,14518458,"[2143030, 12501827, 14322988, 14928689]",4,4th Floor Projects Gallery (UH),1,2013,2015,1.33,3
90,3949172,"[116392, 1888145, 6636770, 15723825]",4,Moody Gallery,2,2007,2014,0.5,8
2791,1314650,"[3443164, 8033939, 11384574, 15951757]",4,"Museum of Fine Arts, Houston (MFAH)",1,2007,2017,0.36,11
184,7218336,"[216044, 11670011, 11996982, 15865391]",4,The Joanna Gallery,2,2007,2008,2.0,2
2082,14439128,"[2398030, 7219170, 8627882, 16639192]",4,G Gallery,1,2011,2012,2.0,2
176,11531409,"[200413, 3550572, 3763537, 15621721]",4,Anya Tish Gallery,2,2012,2016,0.8,5
169,8172505,"[192032, 2977692, 6834445, 13467720]",4,Art League Houston,2,2015,2019,0.8,5
3538,8588407,"[4811473, 6412919, 12469712, 12697999]",4,Barbara Davis Gallery,2,2007,2014,0.5,8
6003,9880592,"[9770790, 11803727, 12741595, 15828711]",4,PG Contemporary,1,2008,2014,0.57,7
1880,10932338,"[2201650, 2267932, 12027137, 14829013]",4,DiverseWorks,3,2013,2015,1.33,3
3547,16069965,"[4828834, 6524124, 15094046, 15539458]",4,The Temporary Space,1,2008,2014,0.57,7
3548,13025134,"[4831366, 12685036, 15474374, 16473020]",4,Art Palace,4,2013,2017,0.8,5
3554,7462913,"[4842772, 12024221, 13614776, 15785480]",4,Lawndale Art Center,1,2010,2012,1.33,3
150,1672043,"[158752, 3955881, 7062118, 14758877]",4,Texas Gallery,2,2008,2012,0.8,5
141,539518,"[141062, 4222067, 6582631, 7635604]",4,Blaffer Art Museum (UH),1,2014,2018,0.8,5
1900,16671254,"[2228974, 5667305, 7119724, 14866493]",4,Nau-haus,1,2009,2015,0.57,7
1902,13621400,"[2229272, 4471453, 8633234, 14184836]",4,Gremillion & Co. Fine Art,4,2010,2019,0.4,10
3576,6297435,"[4883849, 11973600, 12207580, 15528864]",4,BOX 13 ArtSpace,2,2008,2009,2.0,2
5532,1478052,"[8627882, 9557529, 11736807, 15740602]",4,Cardoza Fine Art,2,2011,2016,0.67,6
3591,14046497,"[4907155, 9998517, 12411063, 15551742]",4,Koelsch Gallery,4,2007,2015,0.44,9
4679,10974589,"[6928426, 10171838, 13395367, 15572656]",4,Mariago Collective,1,2007,2014,0.5,8
105,6319969,"[121881, 3086528, 11249191, 11829405]",4,Jung Center,1,2007,2015,0.44,9
104,2505034,"[121881, 3355244, 7517588, 12467579]",4,Jung Center,1,2011,2019,0.44,9
99,11211005,"[121032, 8564826, 9453117, 10547906]",4,Houston Center for Contemporary Craft,2,2007,2014,0.5,8
96,6638785,"[121032, 6215303, 7145825, 9240384]",4,Houston Community College Southwest (HCC SW),1,2012,2014,1.33,3
1937,6209957,"[2290217, 11938597, 11945377, 14875768]",4,Foltz Fine Art,4,2014,2017,1.0,4
5541,3692379,"[8640702, 10288420, 11792409, 15290771]",4,Houston Center for Contemporary Craft,2,2010,2014,0.8,5
3883,732554,"[5362598, 7481250, 10576621, 12788701]",4,Gallery Sonja Roesch,2,2007,2016,0.4,10
5711,11794525,"[9065809, 10867041, 10908985, 15705471]",4,Menil Collection,2,2011,2019,0.44,9
7191,8061592,"[12451377, 12799330, 14474187, 15282956]",4,Archway Gallery,3,2011,2017,0.57,7
5792,12963241,"[9203148, 9584979, 10148382, 15556347]",4,East End Studio Gallery,3,2012,2013,2.0,2
5326,1705864,"[8171326, 10395463, 10642696, 14313809]",4,John Cleary Gallery,2,2009,2012,1.0,4
2678,1894398,"[3242984, 4944038, 7140875, 10781134]",4,Rice University Art Gallery (Rice University),2,2011,2014,1.0,4
3204,3786071,"[4176210, 6860271, 9076482, 12469712]",4,Barbara Davis Gallery,4,2013,2019,0.57,7
3205,3604216,"[4179589, 7616590, 14331667, 14431343]",4,Contemporary Arts Museum Houston,1,2010,2013,1.0,4
2370,1209302,"[2809148, 10981552, 13563708, 16243687]",4,Intexure,1,2007,2013,0.57,7
1559,3865747,"[1767785, 10507628, 10709390, 16663475]",4,Laura Rathe Fine Art,4,2012,2017,0.67,6
586,2212129,"[627541, 10844352, 11807302, 16695430]",4,Gremillion & Co. Fine Art,1,2011,2014,1.0,4
2361,7991563,"[2807665, 7922554, 8637358, 11968262]",4,Brown Auditorium Theater (MFAH),3,2011,2012,2.0,2
1036,14747240,"[1124456, 1217916, 3051090, 7708293]",4,Texas Gallery,4,2007,2016,0.4,10
1037,15123064,"[1130259, 1483194, 10516129, 13515061]",4,The Gallery (HCC Central),2,2012,2014,1.33,3
3219,13623372,"[4201805, 6698271, 7676611, 15996350]",4,PG Contemporary,2,2012,2015,1.0,4
3957,8935630,"[5567482, 6087449, 6777005, 7364730]",4,Houston Center for Photography,2,2008,2012,0.8,5
1038,1116757,"[1132249, 3524717, 3912705, 13483092]",4,Elder Street Gallery,1,2009,2012,1.0,4
572,885422,"[598734, 9853960, 11592610, 14042586]",4,McMurtrey Gallery,3,2008,2016,0.44,9
1583,12357610,"[1805147, 5338291, 9113495, 12206672]",4,d. m. allison,3,2014,2015,2.0,2
563,2764926,"[598224, 730672, 5932108, 7030222]",4,JoMar Visions,1,2015,2016,2.0,2
2328,1186541,"[2741722, 6359024, 12669820, 14240026]",4,Buchanan Gallery,3,2008,2010,1.33,3
4517,6534323,"[6533170, 8781744, 12560504, 16025244]",4,Gallery Sonja Roesch,4,2013,2018,0.67,6
3936,16301515,"[5520900, 7616590, 12024221, 14431343]",4,Blaffer Museum's Window Into Houston,1,2010,2014,0.8,5
1604,8685079,"[1844447, 7789372, 10096250, 10458856]",4,Art League Houston,1,2013,2016,1.0,4
2320,8934414,"[2732872, 4110641, 8382289, 14338787]",4,Goldesberry Gallery,2,2007,2015,0.44,9
539,7888101,"[570398, 1025367, 14354292, 15516063]",4,The Joannex,2,2009,2010,2.0,2
538,7075595,"[570398, 6166035, 8003073, 11670011]",4,The Joannex,1,2007,2014,0.5,8
537,2146909,"[570398, 2384852, 13958027, 14784308]",4,The Joannex,1,2010,2014,0.8,5
529,3563485,"[560699, 8804413, 12015530, 12989510]",4,Menil Collection,4,2009,2012,1.0,4
7285,10417077,"[12659635, 13311774, 14492801, 16264941]",4,Bering Art Collective,2,2008,2012,0.8,5
603,14185482,"[649032, 979256, 1971916, 14180925]",4,Blaffer Art Museum (UH),2,2012,2018,0.57,7
1046,4418575,"[1135058, 4635087, 7512033, 16121158]",4,Art Palace,1,2008,2010,1.33,3
3199,12397334,"[4170062, 7063532, 7236052, 9625498]",4,Laura Rathe Fine Art,3,2008,2010,1.33,3
2437,7120794,"[2905656, 6542901, 12556783, 13263143]",4,Deborah Colton Gallery,4,2010,2012,1.33,3
1228,5719000,"[1358586, 1962292, 3723387, 9354995]",4,Wade Wilson Art,2,2007,2013,0.57,7
3132,2906799,"[4019880, 5383851, 5973942, 6988733]",4,G Gallery,1,2011,2018,0.5,8
2432,1774185,"[2905656, 8247041, 8634010, 8897967]",4,Deborah Colton Gallery,4,2007,2011,0.8,5
4395,16029160,"[6295137, 6628837, 7710446, 9586763]",4,Aurora Picture Show,2,2013,2014,2.0,2
669,12398594,"[732135, 5962300, 12099374, 14141482]",4,Cloister Gallery (Christ Church Cathedral),2,2010,2015,0.67,6
3141,2963666,"[4050994, 4998929, 5768619, 15218837]",4,Glassell School of Art,2,2012,2014,1.33,3
661,2802972,"[730672, 7030222, 7221928, 10124409]",4,South Park Annex,1,2015,2015,4.0,1
2421,752476,"[2886066, 7117900, 9116019, 11905936]",4,McClain Gallery,2,2009,2013,0.8,5
5291,1886768,"[8151563, 11849383, 13563022, 16131520]",4,Fresh Arts,1,2008,2013,0.67,6
4401,15539769,"[6319144, 9198704, 15293227, 16178574]",4,René Wiley Gallery,3,2014,2018,0.8,5
4874,13701366,"[7228432, 7444608, 12725647, 15526550]",4,Redbud Gallery,2,2010,2015,0.67,6
1520,11245983,"[1713350, 13479695, 14498298, 14701993]",4,Hello Lucky,3,2009,2011,1.33,3
3156,7472765,"[4084095, 9591915, 11529554, 11623196]",4,d. m. allison,2,2011,2018,0.5,8
2415,6597552,"[2878780, 3689307, 7936566, 8087862]",4,Eleanor Tinsley Park,1,2009,2015,0.57,7
1524,7438344,"[1726094, 6341284, 10124409, 13385611]",4,Aker Imaging Gallery,1,2015,2018,1.0,4
2409,15451719,"[2868813, 4114255, 12003320, 13586398]",4,Glassell School of Art,2,2014,2015,2.0,2
7304,12832174,"[12709697, 14396752, 14959396, 15170407]",4,Darke Gallery,1,2008,2015,0.5,8
1026,10101257,"[1110197, 8958330, 13184755, 14283974]",4,Wade Wilson Art,4,2011,2014,1.0,4
2676,12248097,"[3233711, 7117900, 14726205, 15671306]",4,Koelsch Gallery,3,2008,2012,0.8,5
3189,4141127,"[4167468, 9226624, 14350799, 14850830]",4,Williams Tower Gallery,1,2007,2010,1.0,4
1543,12577325,"[1744779, 3069760, 7064324, 12099914]",4,Notsuoh,2,2015,2017,1.33,3
2380,3577724,"[2822906, 8665397, 14970047, 15556347]",4,East End Studio Gallery,4,2011,2015,0.8,5
609,9595199,"[673855, 4904108, 5505008, 16276782]",4,Richmond Hall (Menil Collection),3,2012,2016,0.8,5
607,5735695,"[663328, 3889306, 7764900, 9122483]",4,Redbud Gallery,1,2012,2018,0.57,7
2317,12158506,"[2730745, 6070647, 9580552, 16191948]",4,Hooks-Epstein Galleries,4,2007,2015,0.44,9
2325,7736465,"[2738009, 5165437, 15583003, 15745538]",4,Super Happy Funland,1,2009,2013,0.8,5
523,6239393,"[556662, 843521, 13001964, 14367159]",4,Houston Center for Photography,1,2012,2014,1.33,3
3304,3561498,"[4369864, 10045654, 15627725, 16251049]",4,Blaffer Art Museum (UH),1,2012,2019,0.5,8
452,15052990,"[481950, 3651312, 8790479, 16062318]",4,Art League Houston,1,2014,2017,1.0,4
1667,5251134,"[1896913, 16036455, 16163888, 16632462]",4,Alliance Gallery (Houston Arts Alliance),2,2012,2013,2.0,2
2263,14992334,"[2675729, 7113627, 10788171, 15762093]",4,Kaboom Books,1,2016,2018,1.33,3
449,10955105,"[476617, 2471354, 10891523, 15705318]",4,Gallery 1724,1,2007,2014,0.5,8
2684,8674763,"[3265132, 7146274, 8745839, 9912357]",4,Chinelli La Fratta Gallery,1,2007,2016,0.4,10
444,6647021,"[476617, 4284944, 9829547, 14675759]",4,Gallery 1724,1,2012,2018,0.57,7
4797,3755764,"[7117900, 14149357, 14868008, 15979529]",4,Hiram Butler Gallery,3,2007,2016,0.4,10
3896,1741507,"[5397431, 7204233, 8532453, 8676550]",4,Inman Gallery,3,2007,2014,0.5,8
436,16496678,"[467143, 13357783, 16603383, 16745188]",4,Houston Center for Contemporary Craft,1,2012,2017,0.67,6
3895,11774924,"[5394628, 8627482, 15685931, 16486998]",4,Jumper Maybach Fine Art,3,2018,2019,2.0,2
3332,9680197,"[4404573, 9351131, 10396735, 15740602]",4,Cardoza Fine Art,2,2012,2016,0.8,5
423,13011727,"[453265, 3051594, 12185828, 15391151]",4,DiverseWorks,1,2009,2014,0.67,6
7197,12849279,"[12465149, 14382765, 16554399, 16560564]",4,Hiram Butler Gallery,2,2009,2014,0.67,6
3334,9969726,"[4407362, 7572645, 14042612, 16705645]",4,Moores Opera House (UH),1,2015,2016,2.0,2
2820,14425449,"[3524717, 3912705, 8999892, 10957141]",4,JP Morgan Chase,1,2008,2014,0.57,7
403,2495656,"[433894, 1896913, 4568502, 14722077]",4,G Spot Gallery Houston,1,2013,2016,1.0,4
3342,4823182,"[4441076, 9569791, 9958421, 16353588]",4,PG Contemporary,1,2010,2013,1.0,4
400,14995351,"[432855, 4755726, 5714570, 9012216]",4,McMurtrey Gallery,4,2009,2015,0.57,7
1700,1384506,"[1940978, 3518738, 12119618, 16709925]",4,Inferno Gallery (Rice University),1,2011,2014,1.0,4
5403,5253599,"[8344851, 14488285, 16060292, 16469267]",4,Archway Gallery,3,2010,2016,0.57,7
4255,958113,"[6068692, 7635391, 8137028, 16284902]",4,Galveston Arts Center,1,2007,2016,0.4,10
388,1537522,"[403964, 3218093, 8080348, 10179503]",4,Goldesberry Gallery,2,2008,2018,0.36,11
385,6879102,"[403900, 9364038, 13394053, 16554399]",4,Hiram Butler Gallery,2,2012,2017,0.67,6
1653,11539279,"[1888145, 6636770, 10842961, 13583000]",4,Foltz Fine Art,3,2010,2018,0.44,9
438,3732512,"[467197, 6518778, 12543594, 13685361]",4,Project Row Houses,2,2014,2015,2.0,2
1652,11024757,"[1888145, 2140980, 16472607, 16740109]",4,Foltz Fine Art,2,2010,2014,0.8,5
4478,3241957,"[6445665, 12754571, 12942668, 15339299]",4,Catherine Couturier Gallery,3,2010,2015,0.67,6
1614,10929271,"[1853353, 2291469, 4025647, 11368227]",4,G Spot Gallery Houston,2,2015,2016,2.0,2
1048,10609091,"[1135058, 4883849, 7512033, 16121158]",4,BOX 13 ArtSpace,2,2009,2010,2.0,2
3264,14450774,"[4302932, 4801771, 9941858, 9958201]",4,Contemporary Arts Museum Houston,1,2007,2015,0.44,9
6177,6892215,"[10124409, 11276023, 13599745, 14597741]",4,The Silos on Sawyer,1,2015,2019,0.8,5
5018,2839916,"[7565648, 8171326, 10867041, 12754571]",4,Houston Center for Photography,1,2008,2015,0.5,8
3925,11341727,"[5492856, 6184040, 6518778, 7512033]",4,The Brandon,2,2010,2014,0.8,5
1210,15015802,"[1324517, 1584465, 2201650, 8845289]",4,DiverseWorks,4,2015,2015,4.0,1
1209,8522942,"[1324517, 2201650, 6327160, 10732784]",4,DiverseWorks,2,2009,2015,0.57,7
489,3468621,"[535862, 3324348, 8329573, 10901854]",4,Texas Southern University Museum (TSU),1,2012,2018,0.57,7
3917,2755491,"[5459966, 8524972, 8755770, 11763320]",4,Front Gallery,2,2014,2019,0.67,6
473,13227006,"[512413, 6110422, 14190998, 15888646]",4,Self Actualization,2,2014,2018,0.8,5
484,1913679,"[523417, 7182919, 12447913, 14524590]",4,Inman Gallery,2,2012,2017,0.67,6
6402,9026746,"[10688908, 12113574, 14355093, 15887198]",4,Devin Borden Gallery,3,2009,2016,0.5,8
1649,9991819,"[1888145, 2140980, 9390508, 13583000]",4,Foltz Fine Art,3,2010,2014,0.8,5
3905,587475,"[5434427, 7111287, 13782492, 16306498]",4,Project Row Houses,1,2011,2013,1.33,3
3910,1559033,"[5445137, 5888058, 12452855, 16541036]",4,Koelsch Gallery,2,2011,2016,0.67,6
5001,15937481,"[7524678, 13955262, 14732878]",3,Cindy Lisica Gallery,3,2016,2019,0.75,4
4263,4113980,"[6070647, 6717095, 14107109]",3,Hooks-Epstein Galleries,3,2008,2018,0.27,11
6585,15343502,"[11084768, 13792763, 14521236]",3,Galveston Artist Residency,1,2010,2016,0.43,7
4266,13614770,"[6070647, 12420735, 15105611]",3,Hooks-Epstein Galleries,1,2009,2019,0.27,11
4222,9679783,"[6011115, 9786545, 14912373]",3,Green House Gallery,2,2008,2009,1.5,2
2731,15139932,"[3324796, 10531690, 13588320]",3,The Audley Society,1,2011,2012,1.5,2
4258,292484,"[6070647, 6862522, 15610019]",3,Hooks-Epstein Galleries,3,2009,2017,0.33,9
4262,3636093,"[6070647, 10929814, 12427223]",3,Hooks-Epstein Galleries,3,2009,2017,0.33,9
4259,2377518,"[6070647, 14415252, 16473020]",3,Art Palace,2,2009,2014,0.5,6
4278,6009068,"[6089345, 6874414, 10124409]",3,Hardy & Nance Street Studio Complex,1,2010,2015,0.5,6
5025,7670323,"[7566148, 14498298, 16062031]",3,Hello Lucky,3,2008,2009,1.5,2
4214,15098194,"[6001803, 10052682, 15053371]",3,Arlington Street Studios,1,2010,2011,1.5,2
5999,8129282,"[9759147, 12096309, 16350199]",3,Lawndale Art Center,2,2011,2017,0.43,7
2734,10930443,"[3329550, 6912538, 11938597]",3,Foltz Fine Art,2,2009,2018,0.3,10
4264,5133220,"[6070647, 7562214, 8983684]",3,Hooks-Epstein Galleries,3,2007,2011,0.6,5
1225,14376790,"[1353169, 9208058, 12455803]",3,Koelsch Gallery,3,2012,2013,1.5,2
1279,13603376,"[1417465, 5989519, 11146929]",3,JP Morgan Chase,1,2009,2009,3.0,1
1266,7236621,"[1397962, 6128225, 12247648]",3,DiverseWorks,1,2012,2015,0.75,4
1151,11540489,"[1270123, 11739622, 13474046]",3,Contemporary Arts Museum Houston,1,2009,2015,0.43,7
1184,1879263,"[1298583, 14409513, 15760908]",3,Art League Houston,2,2012,2014,1.0,3
4248,14331770,"[6040177, 11965767, 15803617]",3,Art Palace,1,2015,2016,1.5,2
4261,3105436,"[6070647, 8305126, 8567573]",3,Hooks-Epstein Galleries,3,2008,2010,1.0,3
1206,12396162,"[1320223, 12059425, 13621969]",3,R.A. Apffel Park/East Beach Pavilion,1,2014,2015,1.5,2
2697,15831345,"[3288277, 5654023, 6346406]",3,Bill's Junk,2,2011,2018,0.38,8
1152,12166459,"[1270123, 10080642, 12771057]",3,Contemporary Arts Museum Houston,2,2007,2011,0.6,5
4274,3133880,"[6089189, 14351467, 16638075]",3,Jung Center,3,2008,2011,0.75,4
1236,14519476,"[1360069, 8013073, 11099420]",3,Deborah Colton Gallery,1,2007,2011,0.6,5
6045,11355590,"[9862807, 10559691, 14149582]",3,Rudolph Blume Fine Art | ArtScan Gallery,2,2010,2014,0.6,5
1274,6645810,"[1407273, 1513608, 16147030]",3,Hardy & Nance Street Studio Complex,2,2012,2014,1.0,3
2733,8138804,"[3329550, 11140349, 14571584]",3,Foltz Fine Art,3,2009,2017,0.33,9
1169,10992492,"[1283190, 1618700, 7827517]",3,Self Actualization,1,2010,2018,0.33,9
2730,14793152,"[3324796, 13074678, 13642187]",3,The Audley Society,1,2011,2013,1.0,3
2743,2523143,"[3342691, 3691086, 4866318]",3,DiverseWorks,2,2014,2015,1.5,2
4224,15604141,"[6011115, 8345532, 14912373]",3,Green House Gallery,3,2008,2009,1.5,2
5041,1256314,"[7593043, 11042896, 16276131]",3,Art League Houston,3,2013,2013,3.0,1
1277,12300031,"[1415054, 6001440, 6133217]",3,The H Gallery,1,2009,2011,1.0,3
3687,12891111,"[5041442, 11249191, 14651129]",3,Rudolph Blume Fine Art | ArtScan Gallery,1,2007,2007,3.0,1
1283,1676426,"[1420313, 12285044, 12866879]",3,G Gallery,2,2013,2017,0.6,5
2235,11008078,"[2617946, 6256990, 10531690]",3,Station Museum of Contemporary Art,1,2009,2015,0.43,7
4513,16725437,"[6518778, 12648552, 16290878]",3,Lawndale Art Center,1,2014,2018,0.6,5
1707,14045673,"[1958032, 7064078, 14312384]",3,Booker-Lowe Gallery,2,2011,2014,0.75,4
2217,852938,"[2602743, 5322367, 8540442]",3,d. m. allison,1,2008,2016,0.33,9
2216,8284266,"[2600679, 3935918, 15138450]",3,Glassell School of Art,2,2015,2016,1.5,2
4522,8025938,"[6536038, 9861142, 11973600]",3,Mackey Gallery,2,2009,2014,0.5,6
6382,3376489,"[10657212, 13704450, 16296403]",3,Laura Rathe Fine Art,3,2015,2018,0.75,4
1735,2549928,"[1986309, 7564025, 11391599]",3,Moody Gallery,2,2008,2010,1.0,3
4529,2585225,"[6566870, 6777005, 9079534]",3,Foto Relevance,1,2010,2018,0.33,9
1749,13366910,"[2032458, 8820721, 15914071]",3,Nau-haus,2,2009,2012,0.75,4
2194,4449512,"[2588780, 6542901, 13494169]",3,Deborah Colton Gallery,3,2012,2016,0.6,5
2193,5200873,"[2584473, 4522341, 7687572]",3,G Spot Gallery Houston,2,2009,2019,0.27,11
1756,5532621,"[2036824, 5321914, 12830162]",3,Lawndale Art Center,1,2010,2012,1.0,3
1757,6856169,"[2036824, 11099420, 15215527]",3,Lawndale Art Center,1,2010,2011,1.5,2
1758,9521056,"[2036824, 7132856, 10083882]",3,Lawndale Art Center,1,2010,2017,0.38,8
1763,10847717,"[2044256, 6275454, 9013986]",3,Meredith Long and Company,1,2007,2015,0.33,9
6224,16101070,"[10240950, 13646153, 16170212]",3,Eldorado Ballroom (Project Row Houses),1,2013,2015,1.0,3
4550,4682229,"[6597056, 8382289, 14338787]",3,Goldesberry Gallery,2,2008,2015,0.38,8
2157,15147188,"[2532456, 8164183, 9921830]",3,Thornwood Gallery,3,2009,2011,1.0,3
1783,10564068,"[2052944, 3375919, 13782492]",3,Avant Garden,1,2013,2015,1.0,3
1701,2194466,"[1942380, 2803868, 5663797]",3,Hello Project,2,2015,2016,1.5,2
4507,1736937,"[6518778, 8923240, 12373971]",3,Lawndale Art Center,1,2011,2019,0.33,9
1285,4712430,"[1423946, 5868029, 6070647]",3,Hooks-Epstein Galleries,3,2008,2010,1.0,3
2238,6212746,"[2621609, 5194651, 15659817]",3,White Linen Night in the Heights,1,2011,2013,1.0,3
2762,3831836,"[3375919, 7221928, 7755060]",3,Notsuoh,2,2013,2015,1.0,3
2331,13401496,"[2741722, 6248933, 6359024]",3,Buchanan Gallery,2,2009,2010,1.5,2
2326,12111146,"[2738009, 7083607, 11962192]",3,Super Happy Funland,1,2011,2015,0.6,5
1598,9036230,"[1836290, 2905656, 11286545]",3,Deborah Colton Gallery,2,2009,2011,1.0,3
1603,8119323,"[1844447, 2201650, 7789372]",3,Art League Houston,1,2013,2015,1.0,3
2318,5182395,"[2732872, 3162105, 8013073]",3,Blaffer Art Museum (UH),1,2007,2008,1.5,2
1611,9081048,"[1849930, 13479695, 15725171]",3,Hello Lucky,3,2010,2011,1.5,2
2315,1289931,"[2724002, 13894319, 16510607]",3,McMurtrey Gallery,2,2007,2014,0.38,8
6172,406759,"[10124409, 12501827, 14757012]",3,The Silos on Sawyer,1,2015,2018,0.75,4
4466,12685247,"[6402161, 6725009, 9613599]",3,Anya Tish Gallery,3,2007,2018,0.25,12
1624,3584634,"[1871198, 1986309, 15723825]",3,Moody Gallery,2,2010,2013,0.75,4
2290,234201,"[2716646, 9342534, 9990906]",3,Galveston Artist Residency,1,2013,2015,1.0,3
2288,7888754,"[2712738, 3685287, 14786063]",3,Menil Collection,2,2013,2015,1.0,3
1655,12749201,"[1888145, 2140980, 6636770]",3,Foltz Fine Art,2,2010,2014,0.6,5
2269,1134186,"[2679582, 8097883, 11980001]",3,Galveston Arts Center,1,2009,2016,0.38,8
4495,7685771,"[6468501, 9068801, 14391106]",3,Aurora Picture Show,2,2007,2015,0.33,9
2258,14634331,"[2671718, 9342534, 14240026]",3,Canal Street Gallery,1,2008,2013,0.5,6
4792,15009600,"[7108206, 8902391, 9834023]",3,Art Palace,1,2010,2013,0.75,4
2242,3905660,"[2629936, 9003193, 11702349]",3,BOX 13 ArtSpace,1,2008,2018,0.27,11
6350,11093106,"[10595663, 15975019, 16570231]",3,The Gallery (HCC Central),1,2012,2013,1.5,2
2145,6178632,"[2481459, 14917123, 15159693]",3,Gremillion & Co. Fine Art,3,2007,2018,0.25,12
2143,1069951,"[2476670, 11048595, 14010649]",3,Koelsch Gallery,3,2010,2016,0.43,7
6237,5153738,"[10272421, 10851198, 14144251]",3,Sicardi | Ayers | Bacino,2,2009,2013,0.6,5
4676,11888150,"[6921671, 9489328, 16336745]",3,Jung Center,2,2008,2016,0.33,9
1945,14041730,"[2290217, 11938597, 14875768]",3,Foltz Fine Art,3,2014,2015,1.5,2
1948,15053668,"[2290217, 11938597, 14875768]",3,Foltz Fine Art,3,2014,2015,1.5,2
1950,16262464,"[2290559, 7298799, 10684628]",3,Gallery Sonja Roesch,3,2009,2015,0.43,7
2023,115916,"[2336137, 8078390, 8550943]",3,BOX 13 ArtSpace,1,2008,2011,0.75,4
1953,66765,"[2291469, 4025647, 11368227]",3,Space HL,1,2016,2016,3.0,1
1954,1758357,"[2291469, 4025647, 11368227]",3,Space HL,1,2016,2016,3.0,1
1956,2229781,"[2291469, 4025647, 11368227]",3,Space HL,1,2016,2016,3.0,1
1957,2805284,"[2291469, 4025647, 11368227]",3,Space HL,1,2016,2016,3.0,1
1961,14454947,"[2291469, 4025647, 11368227]",3,Space HL,1,2016,2016,3.0,1
1962,14746606,"[2291469, 4025647, 11368227]",3,Space HL,1,2016,2016,3.0,1
1964,16626107,"[2291469, 4025647, 11368227]",3,Space HL,1,2016,2016,3.0,1
8016,7627554,"[14492753, 15812488, 16776106]",3,Russian Cultural Center - Our Texas,1,2013,2016,0.75,4
4671,16218540,"[6892608, 12114873, 16060292]",3,Archway Gallery,2,2013,2018,0.5,6
1969,14641957,"[2296886, 5242308, 5820635]",3,Redbud Gallery,1,2016,2018,1.0,3
4667,3107098,"[6889285, 10286628, 15125039]",3,Glassell School of Art,1,2007,2013,0.43,7
